ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"85.242.190.63","elite","AS3243","PT","PT Comunicacoes S.A","48","PT Comunicacoes S.A.","5156","socks5","1797","1","2023-09-30T11:31:19.290Z","85","3460","4068"
"173.236.182.83","elite","AS26347","US","New Dream Network, LLC","81","New Dream Network, LLC","12873","socks5","2398","1","2023-09-30T11:31:19.291Z","100","4135","4140"
"103.247.13.178","elite","AS131706","ID","TERABIT","189","N/A","1080","socks4","2788","1","2023-09-30T11:31:16.242Z","89","3689","4167"
"110.77.184.124","elite","AS131090","TH","CAT-BB","299","N/A","4145","socks4","5093","1","2023-09-30T11:31:16.247Z","86","3510","4061"
"168.205.218.90","elite","AS264869","BR","SPEED MAX TELECOMUNICAÔÔES LTDA ME","294","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","5999","1","2023-09-30T11:31:16.250Z","79","3271","4157"
"149.28.240.100","elite","AS20473","US","The Constant Company","198","Vultr Holdings, LLC","10403","socks4","5088","1","2023-09-30T11:31:16.243Z","82","3408","4171"
"170.82.180.120","elite","AS266445","BR","SEA TELECOM LTDA","225","SEA TELECOM LTDA","4153","socks4","5093","1","2023-09-30T11:31:10.443Z","92","3811","4150"
"185.220.226.235","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","49","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","2504","1","2023-09-30T11:31:10.445Z","88","3545","4017"
"27.147.139.73","elite","AS23688","BD","Link3 Technologies Limited","189","Corporate Subscriber","4145","socks4","2912","1","2023-09-30T11:31:10.438Z","97","4000","4119"
"103.84.178.2","elite","AS136279","IN","Glo Internet Services Pvt Ltd","189","Glo  Pvt Ltd","4153","socks4","5095","1","2023-09-30T11:31:10.437Z","100","4072","4084"
"14.102.61.138","elite","AS133647","IN","WORLDPHONE","286","N/A","59341","socks4","4999","1","2023-09-30T11:31:10.435Z","96","3919","4063"
"45.251.231.113","elite","AS59362","BD","KS Network","198","Nazmul Karim Bhuiyan","5678","socks4","3108","1","2023-09-30T11:31:05.443Z","99","4088","4130"
"119.40.82.210","elite","AS24122","BD","BDCOM Online Limited","199","Bdcom","35805","socks4","146","1","2023-09-30T11:31:05.438Z","99","3984","4027"
"190.0.244.146","elite","AS27951","CO","Media Commerce Partners S.A","187","Gonzalez Florez Radiologia Especializada SA","4153","socks4","4708","1","2023-09-30T11:31:05.436Z","100","4106","4120"
"104.20.179.187","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5002","1","2023-09-30T11:31:05.439Z","100","4074","4074"
"43.134.225.110","elite","AS132203","SG","Aceville Pte.ltd","325","N/A","443","socks5","2798","1","2023-09-30T11:31:05.438Z","90","3675","4091"
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","218","MLS Projetos de Informatica","1080","socks5","4607","1","2023-09-30T11:31:05.442Z","98","3980","4041"
"188.40.94.107","elite","AS24940","DE","Hetzner Online GmbH","80","Hetzner","30214","socks4","5091","1","2023-09-30T11:31:01.678Z","100","4051","4052"
"103.120.146.32","elite","AS138042","BD","Runway Broadband","190","Runwaybroadband","5678","socks4","4908","1","2023-09-30T11:31:01.494Z","96","3937","4093"
"89.237.32.193","elite","AS20485","RU","multi-origin SUTTK","104","N/A","51549","socks4","4297","1","2023-09-30T11:31:01.578Z","99","4127","4177"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","31","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","4401","1","2023-09-30T11:31:01.577Z","100","4148","4155"
"212.154.251.210","elite","AS50482","KZ","JSC Kazakhtelecom","125","Limited liability company","5678","socks4","4894","1","2023-09-30T11:31:01.575Z","99","4062","4115"
"212.3.105.11","elite","AS57993","UA","FOP Khalik Andrey Volodumurovuch","53","HLink","4145","socks4","4497","1","2023-09-30T11:30:59.947Z","99","4100","4161"
"197.234.13.88","elite","AS36902","SC","Intelvision","183","Intelvision Ltd","4145","socks4","5190","1","2023-09-30T11:30:59.846Z","100","4067","4087"
"41.128.72.62","elite","AS24863","EG","LINKdotNET AS number","69","Link Egypt (Link.NET)","5678","socks4","285","1","2023-09-30T11:30:59.935Z","39","1601","4085"
